articleID|source|title|author|publish_date|location|sentence_index|sentence
0|The Orb|BUMP OF PROTESTS IN ABILA IN RESPONSE TO THE CALLS TO THE ACTION||2012-09-08|ABILA, Kronos|11|She had just turned ten years.
1|The Light of Truth|ENORMOUS IPO MAKES THE BILLIONAIRE OF SANJORGE||2013-12-18|CENTRUM, Tethys|0|The president and CEO of GAStech international Sten Sanjorge, Jr. can add another description to his name: billionaire.
1|The Light of Truth|ENORMOUS IPO MAKES THE BILLIONAIRE OF SANJORGE||2013-12-18|CENTRUM, Tethys|1|And not only one billionaire, almost a billionaire surplus of twice like international sold shares of GAStech in a first public call to the saving.
1|The Light of Truth|ENORMOUS IPO MAKES THE BILLIONAIRE OF SANJORGE||2013-12-18|CENTRUM, Tethys|2|International GAStech, founded in 1961 by Sten Sanjorge, Sr., produces approximately 5 million cubic meters of gas daily from the curve of Tiskele of site to its drilling of GAStech - of Kronos.
1|The Light of Truth|ENORMOUS IPO MAKES THE BILLIONAIRE OF SANJORGE||2013-12-18|CENTRUM, Tethys|3|As for the particular conditions of the classification: Stake of S 51% of Sanjorge Jr. it "with the company is worth $1.96 billion; Stake of Beatriz Fluss it" (widowed of Fluss hank of cofounder of company) 33% is worth  $1.27 billion.
1|The Light of Truth|ENORMOUS IPO MAKES THE BILLIONAIRE OF SANJORGE||2013-12-18|CENTRUM, Tethys|4|Not to feel sorry for the executives of GAStech - of Kronos.
1|The Light of Truth|ENORMOUS IPO MAKES THE BILLIONAIRE OF SANJORGE||2013-12-18|CENTRUM, Tethys|5|The classifications prove that GAStech - the executives of Kronos gained of the $327.25 collective million of the lately invested shares including $96.25 million for CFO Ingrid Barranco,CIO Ada Campo-Corrente, and Orhan Strum.
1|The Light of Truth|ENORMOUS IPO MAKES THE BILLIONAIRE OF SANJORGE||2013-12-18|CENTRUM, Tethys|6|The environmental adviser of safety Willem Vasco-Pais also gained $38.5 million.
2|Everyday News|Global boxes of the charity of dren of the disasters||1999-11-16||0|The new pleas campaign in the horizon to maintain liquidity.
2|Everyday News|Global boxes of the charity of dren of the disasters||1999-11-16||1|The agencies of the aid have noticed that the monetary necessities and of the food have increased everywhere and that they can not be able to solve basic necessities.
2|Everyday News|Global boxes of the charity of dren of the disasters||1999-11-16||2|The office of the O.N.U for the coordination of humanitarian subjects says that 15 million people of remain needing vital merchandize and services, because the number and the severity of crisis have given rise to a deficiency of the "food, healthcare, and the access to sustenances.
2|Everyday News|Global boxes of the charity of dren of the disasters||1999-11-16||3|"A
2|Everyday News|Global boxes of the charity of dren of the disasters||1999-11-16||4|new group of the aid, Singapur THAT TOOK CARE OF has formed recently in answer to the conflict in Kosovo.
2|Everyday News|Global boxes of the charity of dren of the disasters||1999-11-16||5|The Dr Jayala Mahmed could not find an organization existing to sponsor it to offer voluntarily his medical services there.
2|Everyday News|Global boxes of the charity of dren of the disasters||1999-11-16||6|Singapur THAT TOOK CARE OF has sent five missions to Kosovo to provide movable medical aid.
2|Everyday News|Global boxes of the charity of dren of the disasters||1999-11-16||7|Also they have sent a effort of the mobilization of bottoms in collaboration with the governments of Malaysia.
2|Everyday News|Global boxes of the charity of dren of the disasters||1999-11-16||8|"We are stopped ready to help, but the financing is difficult to find," the indicated Dr Mahmed.
2|Everyday News|Global boxes of the charity of dren of the disasters||1999-11-16||9|"As much it is necessary but as much it has been last already.
2|Everyday News|Global boxes of the charity of dren of the disasters||1999-11-16||10|"They damaged to thirteen people Tuesday in Izmit, Turkey, as people filled up a convoy of the relevaci髇 of the government, the civil employees this.
2|Everyday News|Global boxes of the charity of dren of the disasters||1999-11-16||11|They absolutely fear 20,000 earthquake people both that have happened east year.
2|Everyday News|Global boxes of the charity of dren of the disasters||1999-11-16||12|Singapur THAT TOOK CARE OF has sent to equipment from the relevaci髇 to Turkey.
2|Everyday News|Global boxes of the charity of dren of the disasters||1999-11-16||13|Still, the organizations of the aid stretch to their limits.
2|Everyday News|Global boxes of the charity of dren of the disasters||1999-11-16||14|Health for all the attended medical equipment of the emergency ad hoc during the earthquake of September in central Taiwan that measured 7,3 in the scale of Richter.
2|Everyday News|Global boxes of the charity of dren of the disasters||1999-11-16||15|"The answer of the equipment of the emergency was impressive, but not coordinated," it indicated a health for all the spokesman.
2|Everyday News|Global boxes of the charity of dren of the disasters||1999-11-16||16|"Never 閞amos insurances they directed if us to the most desperate locations.
2|Everyday News|Global boxes of the charity of dren of the disasters||1999-11-16||17|Soon we worked of medicines and bottoms to support our equipment of the aid and had to return to house."
2|Everyday News|Global boxes of the charity of dren of the disasters||1999-11-16||18|Whereas the disclosed global press on 2500 people was killed and 100,000 buildings were destroyed, the local press disclosed people felt they correctly took care of that it for and declined aid of the relevaci髇.
2|Everyday News|Global boxes of the charity of dren of the disasters||1999-11-16||19|The global report of the organization of the disaster of the emergency its members is making all she be able to obtain the aid to traverse to the victims of the earthquake, but they need enormous injections the bottoms to do so.
2|Everyday News|Global boxes of the charity of dren of the disasters||1999-11-16||20|Cord of Jim, of the FoodSupport charity of the relevaci髇 of the disaster these times "I think that the deficiency of bottoms is responsible for an increase of attacks against the convoys of the food, therefore dissuading many of agencies of the aid to obtain inside there."
3|The Tulip|PROMINENT Citizen dies at 65||1994-02-18|CENTRUM, Tethys|0|Friday early after four years of diminishing health after an important heart attack, Sten Sanjorge, SR. died morning.
3|The Tulip|PROMINENT Citizen dies at 65||1994-02-18|CENTRUM, Tethys|1|Sanjorge, SR., 65, of Centrum, Tethys were president Emeritus of international GAStech have establishedthe company in 1961.
3|The Tulip|PROMINENT Citizen dies at 65||1994-02-18|CENTRUM, Tethys|2|Beside its role in international GAStech the President of the Council of management of the chamber of the center and member was of the Council of the hospital of the children of the center of administrators.
3|The Tulip|PROMINENT Citizen dies at 65||1994-02-18|CENTRUM, Tethys|3|Sten a champion for the children of Tethys, the aforesaid hospital president Willem Gracias has always been.
3|The Tulip|PROMINENT Citizen dies at 65||1994-02-18|CENTRUM, Tethys|4|He was a truth clerk LEADER and worked infinitely to float our forward institution.
3|The Tulip|PROMINENT Citizen dies at 65||1994-02-18|CENTRUM, Tethys|5|Sten will become really missed and we ask that the everyone Sanjorge family prayed for.
3|The Tulip|PROMINENT Citizen dies at 65||1994-02-18|CENTRUM, Tethys|6|Sanjorge, SR. are survived by its woman Ingrid Sanjorge and its son Sten Sanjorge, Jr.Large in this world has been extinguished slightly, still he pours still a shade, aforesaid Sanjorge Jr. vowed.
3|The Tulip|PROMINENT Citizen dies at 65||1994-02-18|CENTRUM, Tethys|7|I to lead ahead a renewed vision and a dignity to which living and the work my father to our company with will honor.
4|News Online Today|ELODIS, KRONOS:  HELP FROM AN UNEXPECTED SOURCE Part Two||1998-04-26||0|NOTE:
4|News Online Today|ELODIS, KRONOS:  HELP FROM AN UNEXPECTED SOURCE Part Two||1998-04-26||1|This article is the second in a series, reprinted with permission from the Homeland Illumination.
4|News Online Today|ELODIS, KRONOS:  HELP FROM AN UNEXPECTED SOURCE Part Two||1998-04-26||2|Bodrogi has farmed soybeans his entire life, as did his father and their fathers."We've worked the land for a long time - maybe 200 years, maybe a bit more," Henk Bodrogi told me as he picked over a container of bolts, searching for the right size.
4|News Online Today|ELODIS, KRONOS:  HELP FROM AN UNEXPECTED SOURCE Part Two||1998-04-26||3|It took a while to figure out, then one of the city officers figured out to call in a water specialist.
4|News Online Today|ELODIS, KRONOS:  HELP FROM AN UNEXPECTED SOURCE Part Two||1998-04-26||4|When they tested it they said the water was contaminated.
4|News Online Today|ELODIS, KRONOS:  HELP FROM AN UNEXPECTED SOURCE Part Two||1998-04-26||5|"The water specialist turned out to be the international agency "Wellness For All", an international agency with a mission to bring healthy water to communities distressed by natural disasters, draught and - coincidentally - oil and gas development.
4|News Online Today|ELODIS, KRONOS:  HELP FROM AN UNEXPECTED SOURCE Part Two||1998-04-26||6|Reynolds agreed to speak to me for a few minutes between meetings about their work in Elodis.
4|News Online Today|ELODIS, KRONOS:  HELP FROM AN UNEXPECTED SOURCE Part Two||1998-04-26||7|The Elodis drinking water comes from the Tiskele River, as does all the water for farming, so we looked for a source upstream.
4|News Online Today|ELODIS, KRONOS:  HELP FROM AN UNEXPECTED SOURCE Part Two||1998-04-26||8|The toxins are forming a subsurface plume that seeps into the Tiskele River from which the residents of Elodis draw their drinking water and irrigation for the crops.
4|News Online Today|ELODIS, KRONOS:  HELP FROM AN UNEXPECTED SOURCE Part Two||1998-04-26||9|""When we didn't make headway with GAStech," Reynolds continued, "the community leaders decided to approach the government of Kronos for assistance.
4|News Online Today|ELODIS, KRONOS:  HELP FROM AN UNEXPECTED SOURCE Part Two||1998-04-26||10|Per our policy -and with permission from the Elodis leaders - we published the test results in an official public document.
4|News Online Today|ELODIS, KRONOS:  HELP FROM AN UNEXPECTED SOURCE Part Two||1998-04-26||11|The Elodis leaders then approached the government officials as citizens of a Kronesian community armed with the scientific analysis.
5|Worldwise|The ministry for health studies complaints of contamination||1998-11-10|ABILA, Kronos|0|The Minister for health Cesare Nespola announced today that its organization would study complaints of the abnormal questions of health in the sectors surrounding the site of drill of curve of Tiskele.
5|Worldwise|The ministry for health studies complaints of contamination||1998-11-10|ABILA, Kronos|1|Said Nespola minister, "we do not have any reason to believe that drilling with the curve of Tiskele had like consequence any contamination of external water of well or in the area.
5|Worldwise|The ministry for health studies complaints of contamination||1998-11-10|ABILA, Kronos|2|However, I believe that it is important as minister of health to make diligence and to study the reports of the disease close to the suburbs of Elodis.
5|Worldwise|The ministry for health studies complaints of contamination||1998-11-10|ABILA, Kronos|3|To take care of our people is my priority of the number one.
5|Worldwise|The ministry for health studies complaints of contamination||1998-11-10|ABILA, Kronos|4|"In relative news, a press release of the office of Nespola proclaimed that its office granted a license to practice medicine with a oncologist of Tethys, making him the first oncologist authorized in the history of Kronos.
5|Worldwise|The ministry for health studies complaints of contamination||1998-11-10|ABILA, Kronos|5|Dr. Ronald Gerald will be resident at the hospital general of Abila.
6|World Journal|Four people died in a burning accident of road close to Elodis||2007-03-20||0|One nine years - the old boy at the beginning survived the accident and had been stolen at the hospital of the children of Abila, but was declared deceased on the arrival.
6|World Journal|Four people died in a burning accident of road close to Elodis||2007-03-20||1|The police force says that they have a driver of 25 year old truck in the guard with the prison of Elodis.
6|World Journal|Four people died in a burning accident of road close to Elodis||2007-03-20||2|The leaders say a car burst in flames after having run up a truck of GAStech on the road of Calistermi right before 9AM.A team of identification of victim of disaster of Kronos was sent to examine the wreck.
6|World Journal|Four people died in a burning accident of road close to Elodis||2007-03-20||3|Auxiliary police chief Adian Koppolis of police force described the scene like "terrifying".
6|World Journal|Four people died in a burning accident of road close to Elodis||2007-03-20||4|He said nine years - the old boy proved to wander around the site of accidents.
6|World Journal|Four people died in a burning accident of road close to Elodis||2007-03-20||5|"It is tragic that nobody finally survived.
6|World Journal|Four people died in a burning accident of road close to Elodis||2007-03-20||6|The roads outside here can be unfair when you are not constantly vigilant while driving," it said.
6|World Journal|Four people died in a burning accident of road close to Elodis||2007-03-20||7|It noted that the truck passed in the intersection when the car had the right of the manner.
7|News Online Today|WRAP UP OF EVENTS AT GASTECH||2014-01-20|ABILA, Kronos|0|A long tense day of conflicting reports and confusing information has come to an end.
7|News Online Today|WRAP UP OF EVENTS AT GASTECH||2014-01-20|ABILA, Kronos|1|What we know for certain is that 14 GAStech employees are not only missing, but kidnapped as confirmed by a Kronos Government source.
7|News Online Today|WRAP UP OF EVENTS AT GASTECH||2014-01-20|ABILA, Kronos|2|Edvard Vann, a GAStech - Kronos security guard who was interrogated and released after 6 hours, gave the indication that the Protectors of Kronos were involved or at least suspected as being the perpetrators behind today's events.
8|Modern Rubicon|ON SCENE BLOG||2014-01-20||0|1532.
8|Modern Rubicon|ON SCENE BLOG||2014-01-20||1|An employee of Kronos - of GAStech that leaves the construction of the centers who refused in order to supply a name has said that a brace of unknown people was in the posterior part of the conference room in which the reunion of GAStech this morning has happened.
8|Modern Rubicon|ON SCENE BLOG||2014-01-20||2|Unknown people that lurking around to the reunion room "she was not employ you of GAStech" and "it has been dressed in the black clothing, watching in the previous ones."
9|Kronos Star|Breaking: Emergency at GAStech Headquarters Building [Updates]|Cato Rossini, Marcella Trapani|2014-01-20||0|Update 1:00 PM:  Police have come and gone from the GAStech building, but up to this point no GAStech employees have left the building.
9|Kronos Star|Breaking: Emergency at GAStech Headquarters Building [Updates]|Cato Rossini, Marcella Trapani|2014-01-20||1|We still have no official word on why the police are present.
10|Homeland Illumination|VOICES - a blog about what is important to the people|Maha Salo|2014-01-20||0|1018 - A fire alarm has gone off at GAStech headquarters.
10|Homeland Illumination|VOICES - a blog about what is important to the people|Maha Salo|2014-01-20||1|People are evacuating the building, and so far no sign of Sanjorge or his executive staff.
10|Homeland Illumination|VOICES - a blog about what is important to the people|Maha Salo|2014-01-20||2|Officials have asked reporters to move away from the building to allow the fire department access.
10|Homeland Illumination|VOICES - a blog about what is important to the people|Maha Salo|2014-01-20||3|This has the flavor of yet another media ploy to avoid confrontation from the people of Kronos.
10|Homeland Illumination|VOICES - a blog about what is important to the people|Maha Salo|2014-01-20||4|20 Jan 2014
11|Tethys News|To break off itself: The emergency to GAStech quarters construction [updates]||2014-01-20||0|Update, 3:05 PM:  A police P2o has left the scene, but others remain to the external part to fix the construction while others are still in the construction.
11|Tethys News|To break off itself: The emergency to GAStech quarters construction [updates]||2014-01-20||1|There is much speculation approximately their activities, but the police has still to answer to our questions for information.
12|News Online Today|Four people have died in a fiery road crash near Elodis||2007-03-19||0|A nine-year old boy initially survived the crash and had been flown to Abila Children's Hospital, but was declared dead on arrival.
12|News Online Today|Four people have died in a fiery road crash near Elodis||2007-03-19||1|Police say they have a 25 year old truck driver in custody at the Elodis jail.
13|Centrum Sentinel|VOICES - a blog on what is important to people||2014-01-20||0|1025 - Up to now no test of smoke or fire has been marked.
13|Centrum Sentinel|VOICES - a blog on what is important to people||2014-01-20||1|The fire unit has to arrive hardly.
13|Centrum Sentinel|VOICES - a blog on what is important to people||2014-01-20||2|20 gen. 2014
14|News Online Today|Protest Turns Violent in Abila||2009-06-21|ABILA, Kronos|0|A rally of hundreds of protestors allied with the "Protectors of Kronos" movement turned to violence today as angry activists vented their displeasure on the innocent citizens of Abila after hearing the news of POK leader Elian Karel's death.
14|News Online Today|Protest Turns Violent in Abila||2009-06-21|ABILA, Kronos|1|The POK assembly began peacefully enough with the usual chanted slogans and waving of protest signs, but then one young rabble-rouser grabbed a bullhorn and began inciting the crowd to violence.
15|Centrum Sentinel|VOICES - a blog on what is important to people||2014-01-20||0|1744 - The means relationships are coming in how much a sure number of employees of GAStech have been rob you.
15|Centrum Sentinel|VOICES - a blog on what is important to people||2014-01-20||1|The identity of the passengers on the mystery jet that has left today more from the airport of Abila remains unknown.
16|News Online Today|ELODIS PUBLIC HEALTH FACT SHEET||1998-05-16|ELODIS, Kronos|0|At the request of the citizens of Elodis, Wellness for All has published a report on the impact of gas drilling operations on water quality and public health.
17|The Wrap|THE END OF PROTESTS POK IN ARRESTS||2005-04-06|ELODIS, Kronos|0|Fifteen members of the guards of Kronos the activist organization (of POK) was arrested Kronos federal police force yesterday after a dispute at the ports of the facility of GAStech of bending Tiskele.
17|The Wrap|THE END OF PROTESTS POK IN ARRESTS||2005-04-06|ELODIS, Kronos|1|Protesters came close weapons to paddle and movement to stop that and the facility leaves enters.
17|The Wrap|THE END OF PROTESTS POK IN ARRESTS||2005-04-06|ELODIS, Kronos|2|By 8 am had the local time, movement security copy on both sides of the ports.
17|The Wrap|THE END OF PROTESTS POK IN ARRESTS||2005-04-06|ELODIS, Kronos|3|Swinging, sang protesters  protest songs, are including this  country, songs of the farmer and the weavers of our birth countryThen arresting protesters POK started the federal police force, moved themselves they in a neat manner in waiting police force van, which sings the complete time.
18|Homeland Illumination|POK REMEMBERS MARTYRED LEADER|Petrus Gerhard|2012-06-20|ABILA, Kronos|0|In a touching ceremony Wednesday leaders of the activist group Protectors of Kronos paid tribute to their fallen leader, Elian Karel, who was murdered on 19 June 2009 while being illegally detained in a Kronos jail.
18|Homeland Illumination|POK REMEMBERS MARTYRED LEADER|Petrus Gerhard|2012-06-20|ABILA, Kronos|1|"Today we gather to remember Elian Karel," Silvia Marek told the rapt assembly, many of whom held up white candles in Karel's honor.
18|Homeland Illumination|POK REMEMBERS MARTYRED LEADER|Petrus Gerhard|2012-06-20|ABILA, Kronos|2|"Elian was born on an Elodis farm not 40 minutes from here, to Jeroen and Antaura Karel.
18|Homeland Illumination|POK REMEMBERS MARTYRED LEADER|Petrus Gerhard|2012-06-20|ABILA, Kronos|3|He grew up with the specter of death all around him.
18|Homeland Illumination|POK REMEMBERS MARTYRED LEADER|Petrus Gerhard|2012-06-20|ABILA, Kronos|4|By the time Elian was 17 many of his family members and friends were battling constant illness, including his neighbor 10-year old Juliana Vann.
18|Homeland Illumination|POK REMEMBERS MARTYRED LEADER|Petrus Gerhard|2012-06-20|ABILA, Kronos|5|"Marek paused a moment to allow the cries of "Remember Juliana!" to fade.
18|Homeland Illumination|POK REMEMBERS MARTYRED LEADER|Petrus Gerhard|2012-06-20|ABILA, Kronos|6|"Elian devoted his life to the people of Elodis as well as all citizens of Kronos, as did his father before him.
18|Homeland Illumination|POK REMEMBERS MARTYRED LEADER|Petrus Gerhard|2012-06-20|ABILA, Kronos|7|Elian knew his would be a difficult journey.
18|Homeland Illumination|POK REMEMBERS MARTYRED LEADER|Petrus Gerhard|2012-06-20|ABILA, Kronos|8|He had watched his father, Jeroen and the founder of the POK, Henk Bodrogi walk the very path he would tread.
18|Homeland Illumination|POK REMEMBERS MARTYRED LEADER|Petrus Gerhard|2012-06-20|ABILA, Kronos|9|Elian knew the course would not be easy, and would leave little time for a personal life.
18|Homeland Illumination|POK REMEMBERS MARTYRED LEADER|Petrus Gerhard|2012-06-20|ABILA, Kronos|10|Yet he chose to take those steps despite the challenges he knew he would face.
18|Homeland Illumination|POK REMEMBERS MARTYRED LEADER|Petrus Gerhard|2012-06-20|ABILA, Kronos|11|""Elian's journey ended three years ago today.
18|Homeland Illumination|POK REMEMBERS MARTYRED LEADER|Petrus Gerhard|2012-06-20|ABILA, Kronos|12|But his dream did not die with him.
18|Homeland Illumination|POK REMEMBERS MARTYRED LEADER|Petrus Gerhard|2012-06-20|ABILA, Kronos|13|And it is that vision of a healthy and prosperous future for all we are here today to honor.
18|Homeland Illumination|POK REMEMBERS MARTYRED LEADER|Petrus Gerhard|2012-06-20|ABILA, Kronos|14|"Over
18|Homeland Illumination|POK REMEMBERS MARTYRED LEADER|Petrus Gerhard|2012-06-20|ABILA, Kronos|15|the course of the afternoon several other speakers paid tribute to not only Elian, but all who have been victims of the environmental catastrophe brought about by greed and corruption of public officials.
18|Homeland Illumination|POK REMEMBERS MARTYRED LEADER|Petrus Gerhard|2012-06-20|ABILA, Kronos|16|The gathering was marred only by the aggravating presence of Abila police in riot gear.
18|Homeland Illumination|POK REMEMBERS MARTYRED LEADER|Petrus Gerhard|2012-06-20|ABILA, Kronos|17|The police agitated many of the crowd, causing them to have to leave the assembly rather than be assailed with batons and pepper spray.
19|News Desk|ARRESTED LEADER POK||2009-03-13|ABILA, Kronos|0|ABILA, Kronos - Elian Karel, the charismatic LEADER of the guards of Kronos, was arrested today on charges of tax evaluation.
19|News Desk|ARRESTED LEADER POK||2009-03-13|ABILA, Kronos|1|Michale Kraft, the lawyer of Karel, released a declaration claiming that the charges which are levelled against its customer false were and that he hoped its customer is delivered of police force preservation at the end of the week.
19|News Desk|ARRESTED LEADER POK||2009-03-13|ABILA, Kronos|2|Answered the declaration to the spokesman Adrien Carman of the police force by Kraft, explaining, I think M. Kraft the seriousness of the situation of its customer have underestimated.
19|News Desk|ARRESTED LEADER POK||2009-03-13|ABILA, Kronos|3|We have had dense its group since some time.
19|News Desk|ARRESTED LEADER POK||2009-03-13|ABILA, Kronos|4|followedOnly previous month, the group of Karel for violating incident responsible that was entrance to the hoofdkwartier GAStech - Kronos blocked.
19|News Desk|ARRESTED LEADER POK||2009-03-13|ABILA, Kronos|5|President and CEO Sten Sanjorge, Jr. of GAStech convicts POK as terrorists.
20|The Truth|Protest becomes violent in Abila||2009-06-21|ABILA, Kronos|0|A collection of hundreds of protestors which is united with the guards of movement Kronos which is twisted today to violence since the angry activists their dissatisfaction on the innocent citizens of Abila after hearing the news of POK the death of leader Elian Karel.
20|The Truth|Protest becomes violent in Abila||2009-06-21|ABILA, Kronos|1|Karel, which had waited for test for tax evasion, were found dead in its morning of prison cell yesterday.
20|The Truth|Protest becomes violent in Abila||2009-06-21|ABILA, Kronos|2|The assembly POK started peacefully enough with usual chanted slogans and undulating protest signs, but when rabble-rouser one youngsters started seized bullhorn and the calling mob to violence.
20|The Truth|Protest becomes violent in Abila||2009-06-21|ABILA, Kronos|3|The mob break windows and vandalized shops fires determined on the Siopa area, in the streets, and bluntest with police force.
20|The Truth|Protest becomes violent in Abila||2009-06-21|ABILA, Kronos|4|The extra police forces answered to contain chaos and they were forced rubber balls and use tear gas to spread the mob.
20|The Truth|Protest becomes violent in Abila||2009-06-21|ABILA, Kronos|5|The office of president Kapelou's released a declaration concerning the collection, explaining, this type will not forgive violence to become.
20|The Truth|Protest becomes violent in Abila||2009-06-21|ABILA, Kronos|6|Destruction and violence are no manner peace and reach change - these things are in opposition to each other.
20|The Truth|Protest becomes violent in Abila||2009-06-21|ABILA, Kronos|7|The guards of Kronos must resume peaceful resources; all other approaches are not justify.
21|Modern Rubicon|ON SCENE BLOG||2014-01-20||0|1506 - the police has begun to leave the centers of GAStech.
21|Modern Rubicon|ON SCENE BLOG||2014-01-20||1|The officials have refused to answer to the questions of all the reporter that they leave the scene.
21|Modern Rubicon|ON SCENE BLOG||2014-01-20||2|Some vehicles of the police are remained behind.
21|Modern Rubicon|ON SCENE BLOG||2014-01-20||3|Presumablly the remaining officials are interviewing employs of GAStech who still remain inside of the construction of the company.
21|Modern Rubicon|ON SCENE BLOG||2014-01-20||4|The cord of the police still remains around to the building of GAStech.
22|Daily Pegasus|THE MEMBERS OF POK ARRESTED||2001-09-02|ELODIS, Kronos|0|Heavies of the government obstructed the free speech - yet again - of the members of the protectors of the group of the activist of Kronos yesterday in a legal demonstration in the fields of the curve of Tiskele.
22|Daily Pegasus|THE MEMBERS OF POK ARRESTED||2001-09-02|ELODIS, Kronos|1|The five activists of POK had collected in front of the doors to the facility of the operations of the gas of GAStech that he perforated to cause to public conscience the contaminated river of Tiskele that has caused problems of health to the residents of Elodis.
22|Daily Pegasus|THE MEMBERS OF POK ARRESTED||2001-09-02|ELODIS, Kronos|2|The present people disclose that the demonstration had begun Pacific with the five members of POK that walked forwards and backwards through way, singing "remembers Julian" and "not more of poison".
22|Daily Pegasus|THE MEMBERS OF POK ARRESTED||2001-09-02|ELODIS, Kronos|3|An eyewitness said that when the doors were opened to allow that the vehicles of the company of GAStech leave the facility the moved demonstrators to a side.
22|Daily Pegasus|THE MEMBERS OF POK ARRESTED||2001-09-02|ELODIS, Kronos|4|The witnesses apparently agree that at the same time the vehicles with the government of the seal of Kronos lead to the doors, gliding to incorporate the facility.
22|Daily Pegasus|THE MEMBERS OF POK ARRESTED||2001-09-02|ELODIS, Kronos|5|"Era all the very civil one for above until then," Griffith Mabel, resident of Elodis that had left to support the POK said.
22|Daily Pegasus|THE MEMBERS OF POK ARRESTED||2001-09-02|ELODIS, Kronos|6|"The opened doors, the POK people moved and the cars expelled.
22|Daily Pegasus|THE MEMBERS OF POK ARRESTED||2001-09-02|ELODIS, Kronos|7|That one is when stranger obtained.
22|Daily Pegasus|THE MEMBERS OF POK ARRESTED||2001-09-02|ELODIS, Kronos|8|The cars stopped in means of the way for no reason.
22|Daily Pegasus|THE MEMBERS OF POK ARRESTED||2001-09-02|ELODIS, Kronos|9|"Another eyewitness, farmer Charley Normand de Elodis adds, "Yes, the POK individuals requested that the conductors moved pleasant, but the conductors of GAStech did not pay attention to them.
22|Daily Pegasus|THE MEMBERS OF POK ARRESTED||2001-09-02|ELODIS, Kronos|10|They had his windows down, so he was not as they could not hear them.
22|Daily Pegasus|THE MEMBERS OF POK ARRESTED||2001-09-02|ELODIS, Kronos|11|"The
22|Daily Pegasus|THE MEMBERS OF POK ARRESTED||2001-09-02|ELODIS, Kronos|12|renters of the vehicles of the government left and assembled of altercation.
22|Daily Pegasus|THE MEMBERS OF POK ARRESTED||2001-09-02|ELODIS, Kronos|13|The event sequence gets to be confused at this point.
22|Daily Pegasus|THE MEMBERS OF POK ARRESTED||2001-09-02|ELODIS, Kronos|14|Some witnesses indicate the instigadas discussions the conductors of GAStech with protestors, and others think that the officials of the government began to intimidate the demonstrators of the way.
22|Daily Pegasus|THE MEMBERS OF POK ARRESTED||2001-09-02|ELODIS, Kronos|15|"It is to people in the cars of the government were police," Mabel says.
22|Daily Pegasus|THE MEMBERS OF POK ARRESTED||2001-09-02|ELODIS, Kronos|16|"He used the uniforms and had currencies.
22|Daily Pegasus|THE MEMBERS OF POK ARRESTED||2001-09-02|ELODIS, Kronos|17|"Onlookers says that the three parties began to shout, and in a certain point the police of Kronos - of Abila-
22|Daily Pegasus|THE MEMBERS OF POK ARRESTED||2001-09-02|ELODIS, Kronos|18|it arrested five activists it probably transported and them to a jail of Elodis.
22|Daily Pegasus|THE MEMBERS OF POK ARRESTED||2001-09-02|ELODIS, Kronos|19|In spite of the repeated orders an interview, has not granted the access those arrested.
